STATIONS_ID;MESS_DATUM;QN_3;F;D;eor
        183;2021112800;   10;   3.4; 180;eor
        183;2021112801;   10;   2.7; 200;eor
        183;2021112802;   10;   4.0; 240;eor
        183;2021112803;   10;   4.0; 240;eor
        183;2021112804;   10;   4.6; 230;eor
        183;2021112805;   10;   3.2; 240;eor
        183;2021112806;   10;   4.3; 220;eor
        183;2021112807;   10;   5.9; 220;eor
        183;2021112808;   10;   6.1; 220;eor
        183;2021112809;   10;   5.5; 220;eor
        183;2021112810;   10;   6.0; 220;eor
        183;2021112811;   10;   5.5; 220;eor
        183;2021112812;   10;   5.1; 220;eor
        183;2021112813;   10;   5.4; 220;eor
        183;2021112814;   10;   5.4; 230;eor
        183;2021112815;   10;   5.8; 220;eor
        183;2021112816;   10;   4.9; 210;eor
        183;2021112817;   10;   4.3; 200;eor
        183;2021112818;   10;   5.0; 210;eor
        183;2021112819;   10;   5.5; 210;eor
        183;2021112820;   10;   4.6; 210;eor
        183;2021112821;   10;   4.3; 220;eor
        183;2021112822;   10;   3.8; 230;eor
        183;2021112823;   10;   3.0; 230;eor
        183;2021112900;   10;   2.9; 230;eor
        183;2021112901;   10;   2.1; 250;eor
        183;2021112902;   10;   2.6; 250;eor
        183;2021112903;   10;   2.8; 250;eor
        183;2021112904;   10;   3.4; 270;eor
        183;2021112905;   10;   0.9; 270;eor
        183;2021112906;   10;   1.6; 330;eor
        183;2021112907;   10;   7.2;  40;eor
        183;2021112908;   10;  13.1;  60;eor
        183;2021112909;   10;  13.2;  60;eor
        183;2021112910;   10;  12.7;  50;eor
        183;2021112911;   10;  10.6;  40;eor
        183;2021112912;   10;   8.5;  30;eor
        183;2021112913;   10;   7.7;  30;eor
        183;2021112914;   10;   5.2;  30;eor
        183;2021112915;   10;   4.3;  20;eor
        183;2021112916;   10;   3.5; 360;eor
        183;2021112917;   10;   3.7; 350;eor
        183;2021112918;   10;   2.8; 350;eor
        183;2021112919;   10;   2.6; 350;eor
        183;2021112920;   10;   3.8; 330;eor
        183;2021112921;   10;   5.1; 320;eor
        183;2021112922;   10;   4.8; 300;eor
        183;2021112923;   10;   5.9; 270;eor
        183;2021113000;   10;   6.8; 260;eor
        183;2021113001;   10;   6.0; 270;eor
        183;2021113002;   10;   6.3; 240;eor
        183;2021113003;   10;   8.8; 220;eor
        183;2021113004;   10;   9.7; 220;eor
        183;2021113005;   10;  11.3; 210;eor
        183;2021113006;   10;  12.3; 210;eor
        183;2021113007;   10;  14.8; 210;eor
        183;2021113008;   10;  13.7; 230;eor
        183;2021113009;   10;  13.3; 270;eor
        183;2021113010;   10;  15.6; 280;eor
        183;2021113011;   10;  17.2; 280;eor
        183;2021113012;   10;  16.1; 280;eor
        183;2021113013;   10;  14.0; 290;eor
        183;2021113014;   10;  14.0; 290;eor
        183;2021113015;   10;  11.4; 320;eor
        183;2021113016;   10;   7.2;  10;eor
        183;2021113017;   10;   8.8;  30;eor
        183;2021113018;   10;   9.1;  30;eor
        183;2021113019;   10;   5.1;  20;eor
        183;2021113020;   10;   4.2; 340;eor
        183;2021113021;   10;   5.8; 330;eor
        183;2021113022;   10;   4.5; 330;eor
        183;2021113023;   10;   2.5; 350;eor
        183;2021120100;   10;   1.7; 260;eor
        183;2021120101;   10;   1.6; 200;eor
        183;2021120102;   10;   4.5; 230;eor
        183;2021120103;   10;   6.0; 220;eor
        183;2021120104;   10;   6.0; 210;eor
        183;2021120105;   10;   5.9; 190;eor
        183;2021120106;   10;   7.3; 190;eor
        183;2021120107;   10;   6.8; 180;eor
        183;2021120108;   10;   8.7; 160;eor
        183;2021120109;   10;   9.6; 160;eor
        183;2021120110;   10;  10.8; 150;eor
        183;2021120111;   10;   9.9; 170;eor
        183;2021120112;   10;  11.1; 190;eor
        183;2021120113;   10;  11.0; 200;eor
        183;2021120114;   10;  11.3; 210;eor
        183;2021120115;   10;  13.6; 210;eor
        183;2021120116;   10;  11.6; 200;eor
        183;2021120117;   10;  11.7; 200;eor
        183;2021120118;   10;  13.0; 210;eor
        183;2021120119;   10;  13.8; 220;eor
        183;2021120120;   10;  14.4; 230;eor
        183;2021120121;   10;  14.6; 220;eor
        183;2021120122;   10;  14.4; 220;eor
        183;2021120123;   10;  15.6; 230;eor
        183;2021120200;   10;  16.1; 230;eor
        183;2021120201;   10;  15.0; 250;eor
        183;2021120202;   10;  18.7; 280;eor
        183;2021120203;   10;  16.2; 290;eor
        183;2021120204;   10;  14.3; 300;eor
        183;2021120205;   10;  14.2; 300;eor
        183;2021120206;   10;  14.7; 310;eor
        183;2021120207;   10;  14.5; 330;eor
        183;2021120208;   10;  12.9; 330;eor
        183;2021120209;   10;  13.6; 330;eor
        183;2021120210;   10;  13.3; 330;eor
        183;2021120211;   10;  11.8; 330;eor
        183;2021120212;   10;  10.6; 330;eor
        183;2021120213;   10;   8.6; 340;eor
        183;2021120214;   10;   6.0; 350;eor
        183;2021120215;   10;   9.5; 330;eor
        183;2021120216;   10;   9.8; 330;eor
        183;2021120217;   10;  10.1; 330;eor
        183;2021120218;   10;   9.3; 330;eor
        183;2021120219;   10;   7.3; 330;eor
        183;2021120220;   10;   7.3; 300;eor
        183;2021120221;   10;   7.1; 280;eor
        183;2021120222;   10;   7.6; 270;eor
        183;2021120223;   10;   6.4; 250;eor
        183;2021120300;   10;   9.4; 250;eor
        183;2021120301;   10;  14.4; 270;eor
        183;2021120302;   10;  13.6; 280;eor
        183;2021120303;   10;  11.6; 290;eor
        183;2021120304;   10;  14.5; 280;eor
        183;2021120305;   10;  13.5; 280;eor
        183;2021120306;   10;  12.6; 280;eor
        183;2021120307;   10;  13.2; 280;eor
        183;2021120308;   10;  13.9; 280;eor
        183;2021120309;   10;  12.6; 280;eor
        183;2021120310;   10;  13.3; 270;eor
        183;2021120311;   10;  11.5; 260;eor
        183;2021120312;   10;   9.7; 260;eor
        183;2021120313;   10;  11.4; 240;eor
        183;2021120314;   10;  11.2; 240;eor
        183;2021120315;   10;  11.7; 230;eor
        183;2021120316;   10;  10.9; 230;eor
        183;2021120317;   10;  10.8; 230;eor
        183;2021120318;   10;  12.0; 220;eor
        183;2021120319;   10;  12.5; 210;eor
        183;2021120320;   10;  13.4; 210;eor
        183;2021120321;   10;  13.1; 210;eor
        183;2021120322;   10;  12.7; 210;eor
        183;2021120323;   10;  12.5; 230;eor
        183;2021120400;   10;  11.1; 230;eor
        183;2021120401;   10;  11.5; 240;eor
        183;2021120402;   10;  11.2; 240;eor
        183;2021120403;   10;  11.1; 240;eor
        183;2021120404;   10;   9.4; 240;eor
        183;2021120405;   10;   8.5; 240;eor
        183;2021120406;   10;   7.8; 240;eor
        183;2021120407;   10;   8.3; 240;eor
        183;2021120408;   10;   7.9; 240;eor
        183;2021120409;   10;   7.3; 230;eor
        183;2021120410;   10;   6.9; 240;eor
        183;2021120411;   10;   6.6; 230;eor
        183;2021120412;   10;   7.2; 220;eor
        183;2021120413;   10;   6.8; 220;eor
        183;2021120414;   10;   5.7; 220;eor
        183;2021120415;   10;   5.3; 210;eor
        183;2021120416;   10;   5.4; 210;eor
        183;2021120417;   10;   5.6; 190;eor
        183;2021120418;   10;   3.7; 180;eor
        183;2021120419;   10;   3.3; 180;eor
        183;2021120420;   10;   3.9; 130;eor
        183;2021120421;   10;   4.8; 110;eor
        183;2021120422;   10;   4.0;  80;eor
        183;2021120423;   10;   7.2; 100;eor
        183;2021120500;   10;   7.7; 110;eor
        183;2021120501;   10;   6.5; 100;eor
        183;2021120502;   10;   5.7;  90;eor
        183;2021120503;   10;   4.8;  90;eor
        183;2021120504;   10;   3.6;  80;eor
        183;2021120505;   10;   3.4;  70;eor
        183;2021120506;   10;   3.5;  80;eor
        183;2021120507;   10;   4.7;  90;eor
        183;2021120508;   10;   3.9;  80;eor
        183;2021120509;   10;   7.8;  90;eor
        183;2021120510;   10;   9.8;  90;eor
        183;2021120511;   10;  11.4;  90;eor
        183;2021120512;   10;  10.4;  90;eor
        183;2021120513;   10;  11.6;  80;eor
        183;2021120514;   10;  15.0;  80;eor
        183;2021120515;   10;  19.4;  80;eor
        183;2021120516;   10;  20.9;  70;eor
        183;2021120517;   10;  21.6;  70;eor
        183;2021120518;   10;  21.8;  70;eor
        183;2021120519;   10;  19.8;  70;eor
        183;2021120520;   10;  18.8;  70;eor
        183;2021120521;   10;  19.1;  70;eor
        183;2021120522;   10;  18.6;  70;eor
        183;2021120523;   10;  17.9;  70;eor
        183;2021120600;   10;  18.0;  70;eor
        183;2021120601;   10;  16.2;  70;eor
        183;2021120602;   10;  15.2;  70;eor
        183;2021120603;   10;  14.5;  70;eor
        183;2021120604;   10;  13.4;  70;eor
        183;2021120605;   10;  13.1;  70;eor
        183;2021120606;   10;  11.8;  70;eor
        183;2021120607;   10;  10.7;  70;eor
        183;2021120608;   10;  10.1;  70;eor
        183;2021120609;   10;   9.7;  70;eor
        183;2021120610;   10;   8.2;  80;eor
        183;2021120611;   10;   7.4;  80;eor
        183;2021120612;   10;   5.8;  80;eor
        183;2021120613;   10;   6.3;  80;eor
        183;2021120614;   10;   5.8;  80;eor
        183;2021120615;   10;   5.4;  80;eor
        183;2021120616;   10;   5.4;  90;eor
        183;2021120617;   10;   5.1;  80;eor
        183;2021120618;   10;   5.6; 120;eor
        183;2021120619;   10;   5.7; 120;eor
        183;2021120620;   10;   4.6; 120;eor
        183;2021120621;   10;   5.2; 130;eor
        183;2021120622;   10;   6.1; 190;eor
        183;2021120623;   10;   6.8; 190;eor
        183;2021120700;   10;   6.5; 170;eor
        183;2021120701;   10;   8.0; 130;eor
        183;2021120702;   10;   8.4; 130;eor
        183;2021120703;   10;   7.5; 150;eor
        183;2021120704;   10;   6.4; 170;eor
        183;2021120705;   10;   4.7; 180;eor
        183;2021120706;   10;   5.4; 180;eor
        183;2021120707;   10;   5.6; 180;eor
        183;2021120708;   10;   6.6; 160;eor
        183;2021120709;   10;   6.9; 180;eor
        183;2021120710;   10;   7.2; 170;eor
        183;2021120711;   10;   7.3; 180;eor
        183;2021120712;   10;   8.3; 160;eor
        183;2021120713;   10;   9.6; 150;eor
        183;2021120714;   10;  10.3; 160;eor
        183;2021120715;   10;  10.1; 160;eor
        183;2021120716;   10;   9.1; 150;eor
        183;2021120717;   10;   8.8; 150;eor
        183;2021120718;   10;   8.2; 140;eor
        183;2021120719;   10;   9.3; 140;eor
        183;2021120720;   10;  10.7; 140;eor
        183;2021120721;   10;  10.0; 140;eor
        183;2021120722;   10;   8.9; 150;eor
        183;2021120723;   10;   7.4; 160;eor
        183;2021120800;   10;   9.3; 160;eor
        183;2021120801;   10;   9.8; 150;eor
        183;2021120802;   10;   9.5; 140;eor
        183;2021120803;   10;  10.4; 140;eor
        183;2021120804;   10;  11.9; 150;eor
        183;2021120805;   10;  12.0; 140;eor
        183;2021120806;   10;  12.0; 140;eor
        183;2021120807;   10;  12.2; 150;eor
        183;2021120808;   10;  12.8; 150;eor
        183;2021120809;   10;  12.9; 150;eor
        183;2021120810;   10;  12.5; 150;eor
        183;2021120811;   10;  11.6; 150;eor
        183;2021120812;   10;  12.3; 150;eor
        183;2021120813;   10;  12.7; 160;eor
        183;2021120814;   10;  12.7; 160;eor
        183;2021120815;   10;  11.4; 150;eor
        183;2021120816;   10;  11.2; 150;eor
        183;2021120817;   10;  11.0; 150;eor
        183;2021120818;   10;  10.5; 150;eor
        183;2021120819;   10;   9.4; 140;eor
        183;2021120820;   10;   8.7; 150;eor
        183;2021120821;   10;   8.3; 160;eor
        183;2021120822;   10;   8.3; 160;eor
        183;2021120823;   10;   6.3; 160;eor
        183;2021120900;   10;   6.3; 140;eor
        183;2021120901;   10;   7.4; 140;eor
        183;2021120902;   10;   7.7; 150;eor
        183;2021120903;   10;   6.5; 140;eor
        183;2021120904;   10;   6.4; 130;eor
        183;2021120905;   10;   6.5; 140;eor
        183;2021120906;   10;   6.9; 130;eor
        183;2021120907;   10;   6.7; 120;eor
        183;2021120908;   10;   6.3; 140;eor
        183;2021120909;   10;   4.3; 150;eor
        183;2021120910;   10;   3.1; 130;eor
        183;2021120911;   10;   3.5; 150;eor
        183;2021120912;   10;   4.5; 180;eor
        183;2021120913;   10;   5.2; 190;eor
        183;2021120914;   10;   4.4; 180;eor
        183;2021120915;   10;   5.0; 200;eor
        183;2021120916;   10;   4.7; 190;eor
        183;2021120917;   10;   5.5; 190;eor
        183;2021120918;   10;   5.1; 190;eor
        183;2021120919;   10;   5.7; 200;eor
        183;2021120920;   10;   4.9; 200;eor
        183;2021120921;   10;   4.9; 200;eor
        183;2021120922;   10;   4.9; 170;eor
        183;2021120923;   10;   5.0; 180;eor
        183;2021121000;   10;   5.0; 190;eor
        183;2021121001;   10;   3.9; 170;eor
        183;2021121002;   10;   3.8; 170;eor
        183;2021121003;   10;   3.5; 170;eor
        183;2021121004;   10;   3.4; 150;eor
