Windgeschwindigkeit (ms);Leistung (kW)
3;0.01
4;0.05
5;0.1
6;0.16
7;0.25
8;0.33
9;0.42
10;0.51
11;0.58
12;0.62
13;0.63
14;0.64
15;0.65
16;0.65
