Speed	Enercon_E44_900	Enercon_E48_800	Enercon_E53_800	Enercon_E70_2300	Enercon_E82_2000	Enercon_E82_2300	Enercon_E82_3000	Enercon_E92_2350	Enercon_E126_7500	GE_2.5xl	Vestas_V90_2000	Vestas_V100_2000	Vestas_V110_2000	XANT_M21_100
0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.25	0	0.000107202	0	0	0	0	0	0	0	0	0	0	0	0
1.26	0	0.000115151	0	0	0	0	0	0	0	0	0	0	0	0
1.27	0	0.000123477	0	0	0	0	0	0	0	0	0	0	0	0
1.28	0	0.000132191	0	0	0	0	0	0	0	0	0	0	0	0
1.29	0	0.000141303	0	0	0	0	0	0	0	0	0	0	0	0
1.3	0	0.000150825	0	0	0	0	0	0	0	0	0	0	0	0
1.31	0	0.000160767	0	0	0	0	0	0	0	0	0	0	0	0
1.32	0	0.000171139	0	0	0	0	0	0	0	0	0	0	0	0
1.33	0	0.000181953	0	0	0	0	0	0	0	0	0	0	0	0
1.34	0.000100539	0.000193218	0.000100606	0	0	0	0	0	0	0	0	0	0	0
1.35	0.000106217	0.000204946	0.00010941	0	0	0	0	0	0	0	0	0	0	0
1.36	0.000112101	0.000217147	0.000118727	0	0	0	0	0	0	0	0	0	0	0
1.37	0.000118192	0.000229832	0.000128573	0	0	0	0	0	0	0	0	0	0	0
1.38	0.000124495	0.000243011	0.000138963	0	0	0	0	0	0	0	0	0	0	0
1.39	0.000131015	0.000256695	0.000149911	0	0	0	0	0	0	0	0	0	0	0
1.4	0.000137756	0.000270895	0.000161433	0	0	0	0	0	0	0	0	0	0	0
1.41	0.000144721	0.000285622	0.000173544	0	0	0	0	0	0	0	0	0	0	0
1.42	0.000151914	0.000300885	0.000186258	0	0.000107089	0	0	0	0	0	0	0	0	0
1.43	0.00015934	0.000316696	0.000199591	0	0.000114919	0.000100129	0	0.000100129	0	0	0	0	0	0
1.44	0.000167003	0.000333065	0.000213558	0	0.000123128	0.000107287	0	0.000107287	0	0	0	0	0	0
1.45	0.000174906	0.000350004	0.000228173	0	0.000131723	0.000114783	0	0.000114783	0	0	0	0	0	0
1.46	0.000183054	0.000367521	0.000243451	0	0.000140714	0.000122623	0	0.000122623	0	0	0	0	0	0
1.47	0.000191451	0.000385629	0.000259408	0	0.000150109	0.000130817	0.0001018	0.000130817	0	0	0	0	0	0
1.48	0.000200101	0.000404338	0.000276059	0	0.000159919	0.000139372	0.000108457	0.000139372	0	0	0	0	0	0
1.49	0.000209007	0.000423658	0.000293418	0	0.00017015	0.000148296	0.000115401	0.000148296	0	0	0	0	0	0
1.5	0.000218175	0.000443601	0.000311501	0	0.000180814	0.000157596	0.000122638	0.000157596	0	0	0	0	0	0
1.51	0.000227607	0.000464176	0.000330322	0	0.000191919	0.000167281	0.000130175	0.000167281	0	0	0	0	0	0
1.52	0.000237309	0.000485394	0.000349896	0	0.000203473	0.000177359	0.000138016	0.000177359	0	0	0	0	0	0
1.53	0.000247284	0.000507267	0.000370239	0	0.000215485	0.000187837	0.00014617	0.000187837	0	0	0	0	0	0
1.54	0.000257536	0.000529805	0.000391366	0	0.000227966	0.000198722	0.00015464	0.000198722	0	0	0	0	0	0
1.55	0.000268069	0.000553017	0.00041329	0	0.000240923	0.000210024	0.000163435	0.000210024	0	0	0	0	0	0
1.56	0.000278888	0.000576916	0.000436028	0	0.000254366	0.00022175	0.000172559	0.00022175	0	0	0	0	0	0
1.57	0.000289995	0.000601511	0.000459595	0	0.000268304	0.000233907	0.00018202	0.000233907	0	0	0	0	0	0
1.58	0.000301397	0.000626814	0.000484004	0	0.000282745	0.000246504	0.000191822	0.000246504	0	0	0	0	0	0
1.59	0.000313096	0.000652834	0.000509272	0	0.0002977	0.000259549	0.000201972	0.000259549	0	0	0	0	0	0
1.6	0.000325096	0.000679583	0.000535414	0.000107316	0.000313176	0.000273048	0.000212477	0.000273048	0	0	0	0	0	0
1.61	0.000337402	0.000707072	0.000562443	0.000116538	0.000329182	0.000287011	0.000223342	0.000287011	0	0	0	0	0	0
1.62	0.000350017	0.00073531	0.000590376	0.000126162	0.000345729	0.000301445	0.000234574	0.000301445	0	0	0	0	0	0
1.63	0.000362946	0.000764308	0.000619227	0.000136197	0.000362824	0.000316358	0.000246178	0.000316358	0	0	0	0	0	0
1.64	0.000376193	0.000794078	0.000649011	0.000146649	0.000380477	0.000331757	0.000258161	0.000331757	0	0	0	0	0	0
1.65	0.000389762	0.000824629	0.000679744	0.000157526	0.000398697	0.000347651	0.000270529	0.000347651	0	0	0	0	0	0
1.66	0.000403656	0.000855973	0.000711439	0.000168836	0.000417493	0.000364048	0.000283288	0.000364048	0	0	0	0	0	0
1.67	0.000417881	0.00088812	0.000744113	0.000180587	0.000436873	0.000380955	0.000296444	0.000380955	0	0	0	0	0	0
1.68	0.000432439	0.000921081	0.00077778	0.000192786	0.000456847	0.00039838	0.000310003	0.00039838	0	0	0	0	0	0
1.69	0.000447335	0.000954866	0.000812455	0.000205441	0.000477424	0.000416331	0.000323971	0.000416331	0	0	0	0	0	0
1.7	0.000462574	0.000989486	0.000848153	0.00021856	0.000498613	0.000434815	0.000338355	0.000434815	0	0	0	0	0	0
1.71	0.000478158	0.001024951	0.000884889	0.000232151	0.000520422	0.000453842	0.000353161	0.000453842	0	0	0	0	0	0
1.72	0.000494093	0.001061273	0.000922678	0.00024622	0.000542861	0.000473418	0.000368394	0.000473418	0	0	0	0	0	0
1.73	0.000510382	0.001098462	0.000961535	0.000260776	0.000565939	0.000493552	0.000384061	0.000493552	0	0	0	0	0	0
1.74	0.000527029	0.001136528	0.001001476	0.000275826	0.000589665	0.000514251	0.000400167	0.000514251	0	0	0	0	0	0
1.75	0.000544039	0.001175483	0.001042514	0.000291379	0.000614048	0.000535523	0.00041672	0.000535523	0	0	0	0	0	0
1.76	0.000561415	0.001215336	0.001084665	0.000307441	0.000639097	0.000557376	0.000433725	0.000557376	0	0	0	0	0	0
1.77	0.000579161	0.001256099	0.001127944	0.000324021	0.00066482	0.000579818	0.000451188	0.000579818	0	0	0	0	0	0
1.78	0.000597282	0.001297782	0.001172366	0.000341125	0.000691227	0.000602857	0.000469116	0.000602857	0	0	0	0	0	0
1.79	0.000615782	0.001340395	0.001217946	0.000358763	0.000718327	0.0006265	0.000487513	0.0006265	0	0	0	0	0	0
1.8	0.000634664	0.00138395	0.001264699	0.00037694	0.000746129	0.000650756	0.000506388	0.000650756	0	0	0	0	0	0
1.81	0.000653933	0.001428458	0.00131264	0.000395666	0.000774641	0.000675633	0.000525745	0.000675633	0	0	0	0	0	0
1.82	0.000673592	0.001473927	0.001361783	0.000414948	0.000803874	0.000701137	0.000545591	0.000701137	0	0	0	0	0	0
1.83	0.000693647	0.001520371	0.001412145	0.000434793	0.000833835	0.000727277	0.000565932	0.000727277	0	0	0	0	0	0
1.84	0.0007141	0.001567798	0.001463739	0.000455209	0.000864534	0.000754062	0.000586774	0.000754062	0	0	0	0	0	0
1.85	0.000734956	0.001616219	0.001516581	0.000476204	0.00089598	0.000781498	0.000608123	0.000781498	0	0	0	0	0	0
1.86	0.000756219	0.001665646	0.001570686	0.000497786	0.000928182	0.000809594	0.000629986	0.000809594	0	0	0	0	0	0
1.87	0.000777893	0.001716089	0.001626069	0.000519961	0.000961149	0.000838357	0.000652367	0.000838357	0	0	0	0	0	0
1.88	0.000799982	0.001767559	0.001682744	0.000542739	0.000994889	0.000867796	0.000675275	0.000867796	0	0	0	0	0	0
1.89	0.00082249	0.001820065	0.001740727	0.000566126	0.001029413	0.000897917	0.000698714	0.000897917	0	0	0	0	0	0
1.9	0.000845421	0.00187362	0.001800033	0.00059013	0.001064728	0.00092873	0.00072269	0.00092873	0	0	0	0	0	0
1.91	0.00086878	0.001928233	0.001860677	0.000614758	0.001100844	0.000960242	0.000747211	0.000960242	0	0	0	0	0	0
1.92	0.00089257	0.001983915	0.001922673	0.00064002	0.00113777	0.00099246	0.000772281	0.00099246	0	0	0	0	0	0
1.93	0.000916795	0.002040676	0.001986037	0.000665921	0.001175515	0.001025394	0.000797908	0.001025394	0	0	0	0	0	0
1.94	0.00094146	0.002098529	0.002050783	0.00069247	0.001214088	0.001059049	0.000824097	0.001059049	0	0	0	0	0	0
1.95	0.000966568	0.002157482	0.002116927	0.000719675	0.001253498	0.001093435	0.000850854	0.001093435	0	0	0	0	0	0
1.96	0.000992123	0.002217547	0.002184484	0.000747543	0.001293753	0.00112856	0.000878185	0.00112856	0	0	0	0	0	0
1.97	0.00101813	0.002278734	0.002253468	0.000776082	0.001334864	0.00116443	0.000906097	0.00116443	0	0	0	0	0	0
1.98	0.001044593	0.002341054	0.002323895	0.0008053	0.001376838	0.001201054	0.000934596	0.001201054	0	0	0	0	0	0
1.99	0.001071515	0.002404518	0.002395779	0.000835203	0.001419685	0.00123844	0.000963687	0.00123844	0	0	0	0	0	0
2	0.001098901	0.002469136	0.002469136	0.000865801	0.001463415	0.001276596	0.000993377	0.001276596	0	0	0	0	0	0
2.01	0.001126755	0.002534917	0.002543978	0.000897099	0.001508035	0.001315529	0.001023673	0.001315529	0	0	0	0	0	0
2.02	0.001155078	0.002601863	0.002620307	0.000929101	0.001553558	0.00135525	0.001054581	0.00135525	0	0	0	0	0	0
2.03	0.001183874	0.002669974	0.002698123	0.000961808	0.001599993	0.001395768	0.001086109	0.001395768	0	0	0	0	0	0
2.04	0.001213145	0.00273925	0.002777426	0.000995222	0.001647353	0.001437092	0.001118265	0.001437092	0	0	0	0	0	0
2.05	0.001242894	0.002809691	0.002858216	0.001029346	0.001695649	0.001479233	0.001151057	0.001479233	0	0	0	0	0	0
2.06	0.001273121	0.002881296	0.002940492	0.001064181	0.001744892	0.001522199	0.001184491	0.001522199	0	0	0	0	0	0
2.07	0.001303831	0.002954067	0.003024255	0.001099729	0.001795092	0.001566002	0.001218575	0.001566002	0.000102501	0	0	0	0	0
2.08	0.001335025	0.003028003	0.003109504	0.001135993	0.001846261	0.00161065	0.001253317	0.00161065	0.000119215	0	0	0	0	0
2.09	0.001366706	0.003103103	0.003196238	0.001172973	0.001898411	0.001656154	0.001288725	0.001656154	0.000136476	0	0	0	0	0
2.1	0.001398876	0.003179369	0.003284459	0.001210673	0.001951551	0.001702522	0.001324806	0.001702522	0.000154294	0	0	0	0	0
2.11	0.001431537	0.003256799	0.003374165	0.001249093	0.002005695	0.001749765	0.001361568	0.001749765	0.00017268	0	0	0	0	0
2.12	0.001464692	0.003335395	0.003465356	0.001288237	0.002060852	0.001797893	0.001399018	0.001797893	0.000191642	0	0	0	0	0
2.13	0.001498343	0.003415155	0.003558033	0.001328105	0.002117033	0.001846914	0.001437163	0.001846914	0.000211191	0	0	0	0	0
2.14	0.001532493	0.003496081	0.003652194	0.001368701	0.002174251	0.00189684	0.001476012	0.00189684	0.000231336	0	0	0	0	0
2.15	0.001567143	0.003578171	0.003747841	0.001410025	0.002232516	0.001947679	0.001515572	0.001947679	0.000252088	0	0	0	0	0
2.16	0.001602297	0.003661427	0.003844971	0.001452079	0.002291839	0.001999441	0.00155585	0.001999441	0.000273457	0	0	0	0	0
2.17	0.001637956	0.003745848	0.003943587	0.001494867	0.002352232	0.002052137	0.001596854	0.002052137	0.000295451	0	0	0	0	0
2.18	0.001674123	0.003831433	0.004043686	0.001538388	0.002413705	0.002105775	0.001638592	0.002105775	0.000318081	0	0	0	0	0
2.19	0.0017108	0.003918184	0.004145269	0.001582647	0.00247627	0.002160365	0.001681071	0.002160365	0.000341357	0	0	0	0	0
2.2	0.00174799	0.004006099	0.004248337	0.001627644	0.002539938	0.002215918	0.001724298	0.002215918	0.000365289	0	0	0	0	0
2.21	0.001785695	0.00409518	0.004352887	0.001673381	0.00260472	0.002272443	0.001768282	0.002272443	0.000389887	0	0	0	0	0
2.22	0.001823918	0.004185426	0.004458922	0.001719861	0.002670628	0.002329949	0.00181303	0.002329949	0.00041516	0	0	0	0	0
2.23	0.00186266	0.004276837	0.004566439	0.001767085	0.002737671	0.002388447	0.001858549	0.002388447	0.000441118	0	0	0	0	0
2.24	0.001901924	0.004369413	0.004675439	0.001815055	0.002805863	0.002447945	0.001904847	0.002447945	0.000467771	0	0	0	0	0
2.25	0.001941713	0.004463154	0.004785923	0.001863774	0.002875213	0.002508455	0.001951932	0.002508455	0.000495129	0	0	0	0	0
2.26	0.001982028	0.00455806	0.004897889	0.001913243	0.002945732	0.002569985	0.001999811	0.002569985	0.000523202	0	0	0	0	0
2.27	0.002022873	0.004654131	0.005011337	0.001963463	0.003017433	0.002632545	0.002048491	0.002632545	0.000552	0	0	0	0	0
2.28	0.00206425	0.004751367	0.005126267	0.002014438	0.003090327	0.002696145	0.002097981	0.002696145	0.000581532	0	0	0	0	0
2.29	0.00210616	0.004849769	0.00524268	0.002066169	0.003164423	0.002760794	0.002148287	0.002760794	0.000611809	0	0	0	0	0
2.3	0.002148606	0.004949335	0.005360574	0.002118658	0.003239734	0.002826503	0.002199418	0.002826503	0.000642839	0	0	0	0	0
2.31	0.002191592	0.005050067	0.00547995	0.002171906	0.003316271	0.002893281	0.00225138	0.002893281	0.000674634	0	0	0	0	0
2.32	0.002235118	0.005151964	0.005600808	0.002225917	0.003394044	0.002961138	0.002304183	0.002961138	0.000707203	0	0	0	0	0
2.33	0.002279187	0.005255026	0.005723147	0.002280691	0.003473066	0.003030084	0.002357832	0.003030084	0.000740556	0	0	0	0	0
2.34	0.002323803	0.005359253	0.005846967	0.00233623	0.003553347	0.003100127	0.002412335	0.003100127	0.000774702	0	0	0	0	0
2.35	0.002368966	0.005464645	0.005972267	0.002392538	0.003634898	0.003171279	0.002467701	0.003171279	0.000809652	0	0	0	0	0
2.36	0.00241468	0.005571203	0.006099049	0.002449615	0.00371773	0.003243548	0.002523937	0.003243548	0.000845416	0	0	0	0	0
2.37	0.002460946	0.005678926	0.006227311	0.002507463	0.003801855	0.003316945	0.00258105	0.003316945	0.000882002	0	0	0	0	0
2.38	0.002507768	0.005787813	0.006357053	0.002566085	0.003887284	0.003391479	0.002639048	0.003391479	0.000919422	0	0	0	0	0
2.39	0.002555148	0.005897867	0.006488275	0.002625483	0.003974028	0.003467159	0.002697938	0.003467159	0.000957684	0	0	0	0	0
2.4	0.002603087	0.006009085	0.006620977	0.002685658	0.004062098	0.003543997	0.002757728	0.003543997	0.0009968	0	0	0	0	0
2.41	0.002651588	0.006121468	0.006755159	0.002746612	0.004151506	0.003622	0.002818426	0.003622	0.001036778	0	0	0	0	0
2.42	0.002700654	0.006235017	0.00689082	0.002808347	0.004242261	0.00370118	0.002880038	0.00370118	0.001077628	0	0	0	0	0
2.43	0.002750288	0.006349731	0.007027961	0.002870866	0.004334377	0.003781545	0.002942574	0.003781545	0.001119361	0	0	0	0	0
2.44	0.00280049	0.00646561	0.007166581	0.002934169	0.004427863	0.003863105	0.003006039	0.003863105	0.001161986	0	0	0	0	0
2.45	0.002851264	0.006582655	0.007306679	0.00299826	0.004522731	0.003945871	0.003070443	0.003945871	0.001205513	0	0	0	0	0
2.46	0.002902613	0.006700864	0.007448257	0.00306314	0.004618992	0.004029852	0.003135792	0.004029852	0.001249952	0	0	0	0	0
2.47	0.002954537	0.006820239	0.007591313	0.00312881	0.004716657	0.004115057	0.003202093	0.004115057	0.001295313	0	0	0	0	0
2.48	0.003007041	0.006940779	0.007735847	0.003195274	0.004815738	0.004201496	0.003269356	0.004201496	0.001341606	0	0	0	0	0
2.49	0.003060125	0.007062485	0.00788186	0.003262532	0.004916245	0.00428918	0.003337586	0.00428918	0.00138884	0	0	0	0	0
2.5	0.003113794	0.007185356	0.00802935	0.003330587	0.00501819	0.004378117	0.003406792	0.004378117	0.001437025	0	0	0	0	0
2.51	0.003168048	0.007309392	0.008178318	0.003399441	0.005121583	0.004468318	0.003476981	0.004468318	0.001486171	0	0	0	0.000149781	0.000203507
2.52	0.00322289	0.007434593	0.008328764	0.003469096	0.005226437	0.004559792	0.003548161	0.004559792	0.001536289	0	0	0.000113238	0.000309436	0.000420301
2.53	0.003278323	0.00756096	0.008480687	0.003539553	0.005332762	0.004652549	0.003620339	0.004652549	0.001587387	0	0	0.000175449	0.000478808	0.000650037
2.54	0.003334349	0.007688492	0.008634087	0.003610815	0.005440569	0.004746598	0.003693523	0.004746598	0.001639477	0	0	0.000241439	0.000657739	0.00089237
2.55	0.00339097	0.007817189	0.008788965	0.003682883	0.00554987	0.00484195	0.00376772	0.00484195	0.001692567	0	0	0.000311243	0.000846072	0.001146956
2.56	0.003448189	0.007947052	0.008945319	0.00375576	0.005660676	0.004938614	0.003842939	0.004938614	0.001746667	0	0	0.000384898	0.001043649	0.001413452
2.57	0.003506008	0.00807808	0.009103149	0.003829447	0.005772997	0.005036599	0.003919186	0.005036599	0.001801788	0	0	0.000462443	0.001250314	0.001691511
2.58	0.00356443	0.008210273	0.009262456	0.003903947	0.005886845	0.005135916	0.003996469	0.005135916	0.001857938	0	0	0.000543913	0.001465907	0.00198079
2.59	0.003623456	0.008343632	0.009423239	0.003979261	0.006002232	0.005236575	0.004074796	0.005236575	0.001915129	0	0	0.000629345	0.001690274	0.002280945
2.6	0.003683089	0.008478156	0.009585499	0.004055391	0.006119167	0.005338584	0.004154174	0.005338584	0.00197337	0	0	0.000718777	0.001923255	0.00259163
2.61	0.003743332	0.008613846	0.009749234	0.004132339	0.006237663	0.005441954	0.00423461	0.005441954	0.00203267	0	0	0.000812246	0.002164693	0.002912502
2.62	0.003804187	0.008750701	0.009914444	0.004210107	0.006357731	0.005546694	0.004316114	0.005546694	0.002093041	0	0	0.000909788	0.002414432	0.003243216
2.63	0.003865656	0.008888721	0.01008113	0.004288697	0.006479382	0.005652815	0.004398691	0.005652815	0.00215449	0	0	0.00101144	0.002672314	0.003583427
2.64	0.003927742	0.009027907	0.010249291	0.004368112	0.006602626	0.005760325	0.004482349	0.005760325	0.002217029	0	0	0.00111724	0.002938181	0.003932791
2.65	0.003990446	0.009168258	0.010418928	0.004448352	0.006727476	0.005869235	0.004567097	0.005869235	0.002280667	0	0	0.001227224	0.003211876	0.004290964
2.66	0.004053772	0.009309774	0.010590039	0.00452942	0.006853942	0.005979553	0.004652941	0.005979553	0.002345414	0	0	0.001341429	0.003493241	0.004657601
2.67	0.004117722	0.009452456	0.010762625	0.004611318	0.006982035	0.006091291	0.00473989	0.006091291	0.00241128	0	0	0.001459893	0.00378212	0.005032358
2.68	0.004182297	0.009596303	0.010936685	0.004694048	0.007111766	0.006204458	0.00482795	0.006204458	0.002478275	0	0	0.001582652	0.004078355	0.00541489
2.69	0.004247501	0.009741316	0.011112219	0.004777611	0.007243148	0.006319063	0.00491713	0.006319063	0.002546408	0	0	0.001709743	0.004381788	0.005804853
2.7	0.004313336	0.009887494	0.011289228	0.004862011	0.00737619	0.006435116	0.005007436	0.006435116	0.00261569	0	0	0.001841203	0.004692262	0.006201902
2.71	0.004379804	0.010034838	0.01146771	0.004947247	0.007510905	0.006552627	0.005098877	0.006552627	0.00268613	0	0	0.00197707	0.00500962	0.006605693
2.72	0.004446908	0.010183347	0.011647666	0.005033324	0.007647302	0.006671606	0.00519146	0.006671606	0.002757738	0	0	0.002117379	0.005333705	0.007015881
2.73	0.004514649	0.010333022	0.011829096	0.005120241	0.007785394	0.006792062	0.005285193	0.006792062	0.002830524	0	0	0.002262169	0.005664358	0.007432122
2.74	0.00458303	0.010483862	0.012011998	0.005208003	0.007925192	0.006914005	0.005380082	0.006914005	0.002904498	0	0	0.002411475	0.006001423	0.007854072
